,portfolio_return,benchmark_return,regime,portfolio_growth,benchmark_growth
2024-01-31,0.0049736609752293074,0.01592627989150497,Mixed,3.0365709364940545,3.2470593059462605
2024-02-29,0.0430131914074097,0.052186977962002556,Mixed,3.1671835434076505,3.4165135183869935
2024-03-31,0.03892265305434391,0.03270185932656733,Mixed,3.290458729627134,3.5282398628526006
2024-04-30,-0.03261740058362276,-0.040319624660948516,Mixed,3.1831325191390074,3.3859825558685874
2024-05-31,0.03268559591781568,0.05057977521949231,Mixed,3.2871751024124434,3.5572447924415425
2024-06-30,0.008368073118142961,0.03528016248410859,Mixed,3.31468242402157,3.6827449667146293
2024-07-31,0.029568743452563502,0.01210905573141674,Mixed,3.4126934182441855,3.727339530761171
2024-08-31,0.028245994223952423,0.02336554840830951,Mixed,3.509088336824031,3.814430863001377
2024-09-30,0.025729130597839923,0.021004661564918203,Growth,3.5993741289215335,3.8945516923414996
2024-10-31,-0.01178100291374381,-0.008923558620233862,Growth,3.556969891821055,3.859798432015359
2024-11-30,0.07391714048150934,0.05963352184722481,Growth,3.819890935003291,4.089971806136831
2024-12-31,-0.03634268647581337,-0.024060285058999265,Growth,3.6810658363806645,3.991565918597909
2025-01-31,0.031978390907134564,0.026856410906426875,Growth,3.7987803986513433,4.098765053067863
2025-02-28,-0.013028378549717296,-0.012694838336049674,Growth,3.749288449590468,4.0467318933417165
2025-03-31,-0.049285097853769826,-0.05571909772666972,Growth,3.564504401470393,3.821251643502978
2025-04-30,-0.009560756963742013,-0.008670229175496758,Growth,3.5304250411917457,3.788120516016564
2025-05-31,0.05932033682272289,0.06284501787581465,Growth,3.739851043762615,4.026185017561365
2025-06-30,0.04238104202771041,0.051386078379676015,Growth,3.898349828025695,4.23307487644485
2025-07-31,0.017627951825855193,0.023031507308652444,Growth,3.9670697509944626,4.330568971399763
2025-08-31,0.02070519007097918,0.02051959125720848,Growth,4.049208684213635,4.4194304766040355
2025-09-30,0.031468853925615596,0.03562036952182912,Growth,4.176632640811488,4.576852223256704
2025-10-31,0.01628843163214398,0.023837458474752493,Growth,4.244663436033926,4.685952748073665
2025-11-30,-1.1653139648346196e-06,0.0019499283249213573,Growth,4.244658489668348,4.6950900200663765
2025-12-31,0.006029882409657272,0.000797497311368911,Growth,4.270253281230201,4.698834341734014
